player_key,name,gender,issue,detail
men:sackmann:210490,Matthias Uwe Kask,men,match_count_sum_mismatch,"sum(surface_matches)=3, matches=4"
men:sackmann:210490,Matthias Uwe Kask,men,match_count_sum_mismatch,"sum(level_surface_matches)=3, matches=4"
men:sackmann:210494,Theo Papamalamis,men,match_count_sum_mismatch,"sum(surface_matches)=91, matches=92"
men:sackmann:210494,Theo Papamalamis,men,match_count_sum_mismatch,"sum(level_surface_matches)=91, matches=92"
men:sackmann:210532,Giacomo Crisostomo,men,match_count_sum_mismatch,"sum(surface_matches)=50, matches=51"
men:sackmann:210532,Giacomo Crisostomo,men,match_count_sum_mismatch,"sum(level_surface_matches)=50, matches=51"
men:sackmann:210538,Noa Vukadin,men,match_count_sum_mismatch,"sum(surface_matches)=31, matches=32"
men:sackmann:210538,Noa Vukadin,men,match_count_sum_mismatch,"sum(level_surface_matches)=31, matches=32"
men:sackmann:210570,Kevin Edengren,men,match_count_sum_mismatch,"sum(surface_matches)=35, matches=36"
men:sackmann:210570,Kevin Edengren,men,match_count_sum_mismatch,"sum(level_surface_matches)=35, matches=36"
men:sackmann:210604,Loann Massard ,men,match_count_sum_mismatch,"sum(surface_matches)=153, matches=154"
men:sackmann:210604,Loann Massard ,men,match_count_sum_mismatch,"sum(level_surface_matches)=153, matches=154"
men:sackmann:210649,Giammarco Gandolfi,men,match_count_sum_mismatch,"sum(surface_matches)=26, matches=27"
men:sackmann:210649,Giammarco Gandolfi,men,match_count_sum_mismatch,"sum(level_surface_matches)=26, matches=27"
men:sackmann:210714,Robin Catry,men,match_count_sum_mismatch,"sum(surface_matches)=116, matches=117"
men:sackmann:210714,Robin Catry,men,match_count_sum_mismatch,"sum(level_surface_matches)=116, matches=117"
men:sackmann:210722,Viktor Markov,men,match_count_sum_mismatch,"sum(surface_matches)=32, matches=33"
men:sackmann:210722,Viktor Markov,men,match_count_sum_mismatch,"sum(level_surface_matches)=32, matches=33"
men:sackmann:210733,Arthur Bonnaud,men,match_count_sum_mismatch,"sum(surface_matches)=62, matches=64"
men:sackmann:210733,Arthur Bonnaud,men,match_count_sum_mismatch,"sum(level_surface_matches)=62, matches=64"
