model,min_level_matches,min_surface_matches,matches,accuracy,brier,log_loss,avg_prob_winner,avg_pick_prob
level_only,20,50,38081,0.634962,0.222785,0.635703,0.552269,0.628799
level_only,30,0,84973,0.647617,0.217716,0.624299,0.558803,0.632682
level_only,30,3,83495,0.647668,0.217685,0.624244,0.558814,0.632631
level_only,30,5,82416,0.647957,0.217581,0.624015,0.558948,0.632721
level_only,30,10,79164,0.647453,0.217765,0.624406,0.558752,0.632704
level_only,30,20,70299,0.646609,0.218036,0.624995,0.558383,0.632449
level_only,30,30,58413,0.644257,0.218924,0.626948,0.557332,0.632038
level_only,30,50,35025,0.635832,0.222265,0.634476,0.553127,0.629924
level_only,50,0,50569,0.64496,0.218561,0.626184,0.558059,0.633157
level_only,50,3,49946,0.644776,0.218606,0.626291,0.557969,0.633038
level_only,50,5,49499,0.645326,0.218409,0.625861,0.5582,0.633128
level_only,50,10,48238,0.644969,0.218536,0.626141,0.55803,0.633041
level_only,50,20,44855,0.645302,0.218363,0.625758,0.55805,0.632593
level_only,50,30,40589,0.644657,0.218673,0.626451,0.557613,0.632296
level_only,50,50,29168,0.643102,0.219939,0.62943,0.55608,0.631707
sample_aware,0,0,226990,0.641019,0.220446,0.630432,0.549098,0.60912
sample_aware,0,3,185508,0.644775,0.219177,0.627779,0.551645,0.614477
sample_aware,0,5,168942,0.645245,0.219046,0.627498,0.552116,0.615847
sample_aware,0,10,139499,0.643345,0.219642,0.628757,0.551928,0.617413
sample_aware,0,20,101993,0.639524,0.22115,0.632015,0.550285,0.617234
sample_aware,0,30,77094,0.634874,0.222521,0.634973,0.548558,0.616219
sample_aware,0,50,45211,0.629736,0.224367,0.639103,0.546104,0.614575
sample_aware,3,0,190650,0.647653,0.218174,0.6256,0.553125,0.616248
sample_aware,3,3,176730,0.647174,0.218343,0.625969,0.553139,0.61698
sample_aware,3,5,161700,0.647335,0.218321,0.625917,0.55345,0.61813
sample_aware,3,10,134135,0.644664,0.219101,0.627563,0.553006,0.619384
sample_aware,3,20,98488,0.640555,0.220698,0.631014,0.551203,0.61894
sample_aware,3,30,74658,0.635793,0.222157,0.634168,0.54934,0.617752
sample_aware,3,50,43870,0.629975,0.224134,0.638582,0.546739,0.616089
sample_aware,5,0,175369,0.648752,0.217799,0.624777,0.554099,0.618474
sample_aware,5,3,165185,0.648497,0.217888,0.624969,0.554128,0.618934
sample_aware,5,5,157370,0.648383,0.217955,0.625111,0.554109,0.619141
sample_aware,5,10,131103,0.645477,0.21879,0.626874,0.553574,0.620252
sample_aware,5,20,96413,0.641117,0.220477,0.630516,0.551655,0.619707
sample_aware,5,30,73206,0.636341,0.22199,0.633788,0.549712,0.618451
sample_aware,5,50,43130,0.630304,0.224049,0.638387,0.547015,0.616749
sample_aware,10,0,147740,0.649743,0.217494,0.624067,0.555298,0.621603
sample_aware,10,3,141892,0.649586,0.217503,0.624082,0.555307,0.621694
sample_aware,10,5,137671,0.649599,0.217483,0.624037,0.55535,0.621779
sample_aware,10,10,124221,0.648167,0.217907,0.624934,0.55496,0.621904
sample_aware,10,20,91929,0.643138,0.219787,0.628991,0.552796,0.621188
sample_aware,10,30,69947,0.637954,0.221431,0.63255,0.550683,0.619816
sample_aware,10,50,41385,0.63134,0.223687,0.637585,0.547742,0.617955
sample_aware,20,0,110572,0.648591,0.217755,0.624576,0.555627,0.623674
sample_aware,20,3,107967,0.648633,0.217726,0.624511,0.555619,0.623578
sample_aware,20,5,106078,0.6489,0.217664,0.624379,0.555675,0.62357
sample_aware,20,10,100297,0.648275,0.217883,0.624833,0.55548,0.623623
sample_aware,20,20,83744,0.646625,0.218512,0.626207,0.55479,0.62348
sample_aware,20,30,64051,0.640458,0.220347,0.630162,0.552468,0.622059
sample_aware,20,50,38081,0.633387,0.2229,0.635858,0.549086,0.619781
sample_aware,30,0,84920,0.647527,0.21789,0.6248,0.555624,0.624258
sample_aware,30,3,83495,0.64768,0.217818,0.624654,0.555641,0.624102
sample_aware,30,5,82416,0.647969,0.217716,0.624431,0.555733,0.624082
sample_aware,30,10,79164,0.647226,0.217951,0.624927,0.555494,0.624071
sample_aware,30,20,70299,0.645728,0.218407,0.625901,0.555039,0.624043
sample_aware,30,30,58413,0.642802,0.219313,0.627857,0.55399,0.623611
sample_aware,30,50,35025,0.634404,0.222484,0.634898,0.549925,0.621164
sample_aware,50,0,50532,0.644799,0.218652,0.626497,0.554928,0.624542
sample_aware,50,3,49946,0.644736,0.218658,0.626517,0.55486,0.624365
sample_aware,50,5,49499,0.645286,0.218461,0.626089,0.555063,0.624377
sample_aware,50,10,48238,0.644741,0.218647,0.626491,0.554853,0.624321
sample_aware,50,20,44855,0.644321,0.218783,0.626778,0.554696,0.624207
sample_aware,50,30,40589,0.643007,0.21924,0.62776,0.554189,0.624089
sample_aware,50,50,29168,0.640634,0.22053,0.630697,0.552723,0.623688
surface_only,0,0,226990,0.622362,0.226817,0.644393,0.541595,0.605919
surface_only,0,3,185508,0.627811,0.225129,0.640845,0.545447,0.614962
surface_only,0,5,168942,0.627884,0.225106,0.640765,0.546249,0.617898
surface_only,0,10,139499,0.625094,0.225746,0.642085,0.546647,0.621488
surface_only,0,20,101993,0.620239,0.227489,0.64581,0.545188,0.622539
surface_only,0,30,77094,0.615742,0.228728,0.648363,0.543566,0.621397
surface_only,0,50,45211,0.612108,0.230356,0.651877,0.540994,0.618715
surface_only,3,0,190650,0.626163,0.225648,0.641969,0.544073,0.611536
surface_only,3,3,176730,0.628031,0.225137,0.640886,0.545415,0.614955
surface_only,3,5,161700,0.628318,0.225047,0.640662,0.546262,0.617799
surface_only,3,10,134135,0.625243,0.225702,0.642011,0.546637,0.621355
surface_only,3,20,98488,0.620451,0.227408,0.645641,0.545255,0.622531
surface_only,3,30,74658,0.615902,0.228651,0.648196,0.543621,0.621367
surface_only,3,50,43870,0.611876,0.230424,0.65203,0.540907,0.618664
surface_only,5,0,175369,0.626969,0.225433,0.641513,0.544819,0.613606
surface_only,5,3,165185,0.628429,0.22499,0.640569,0.545948,0.616414
surface_only,5,5,157370,0.628779,0.224886,0.640327,0.546438,0.617862
surface_only,5,10,131103,0.625897,0.22553,0.641652,0.546792,0.621298
surface_only,5,20,96413,0.620902,0.227295,0.645403,0.54536,0.622489
surface_only,5,30,73206,0.616261,0.228533,0.647939,0.543733,0.621334
surface_only,5,50,43130,0.612265,0.230276,0.651714,0.541064,0.618663
surface_only,10,0,147740,0.627305,0.225217,0.641,0.545917,0.6169
surface_only,10,3,141892,0.628267,0.22489,0.640298,0.546726,0.61886
surface_only,10,5,137671,0.628564,0.224796,0.640081,0.547064,0.619771
