risk_level,gender,name_norm,display_name,player_key,match_count,country,birth_year,hand,height,recommended_canonical_key,all_player_keys,all_match_counts,all_countries,all_birth_years
MEDIUM,women,johanne christine svendsen,Johanne Christine Svendsen,women:sackmann:241717,0,DEN,2004,R,,women:sackmann:260672,women:sackmann:241717 | women:sackmann:260672,women:sackmann:241717=0 | women:sackmann:260672=0,DEN,2004
MEDIUM,women,johanne christine svendsen,Johanne Christine Svendsen,women:sackmann:260672,0,DEN,2004,R,,women:sackmann:260672,women:sackmann:241717 | women:sackmann:260672,women:sackmann:241717=0 | women:sackmann:260672=0,DEN,2004
MEDIUM,women,khadija ben salem,Khadija Ben Salem,women:sackmann:239493,0,TUN,2007,U,,women:sackmann:267947,women:sackmann:239493 | women:sackmann:267947,women:sackmann:239493=0 | women:sackmann:267947=0,TUN,2007
MEDIUM,women,khadija ben salem,Khadija Ben Salem,women:sackmann:267947,0,TUN,,U,,women:sackmann:267947,women:sackmann:239493 | women:sackmann:267947,women:sackmann:239493=0 | women:sackmann:267947=0,TUN,2007
MEDIUM,women,kiara nina kucikova,Kiara Nina Kucikova,women:sackmann:264009,0,SVK,,U,,women:sackmann:266562,women:sackmann:264009 | women:sackmann:266562,women:sackmann:264009=0 | women:sackmann:266562=0,SVK,
MEDIUM,women,kiara nina kucikova,Kiara Nina Kucikova,women:sackmann:266562,0,SVK,,U,,women:sackmann:266562,women:sackmann:264009 | women:sackmann:266562,women:sackmann:264009=0 | women:sackmann:266562=0,SVK,
MEDIUM,women,klio maria ioannou,Klio Maria Ioannou,women:sackmann:263904,0,CYP,,U,,women:sackmann:266766,women:sackmann:263904 | women:sackmann:266766,women:sackmann:263904=0 | women:sackmann:266766=0,CYP,
MEDIUM,women,klio maria ioannou,Klio Maria Ioannou,women:sackmann:266766,0,CYP,,U,,women:sackmann:266766,women:sackmann:263904 | women:sackmann:266766,women:sackmann:263904=0 | women:sackmann:266766=0,CYP,
MEDIUM,women,lara bela frederico de almeida santos,Lara Bela Frederico De Almeida Santos,women:sackmann:266459,0,BRA,,U,,women:sackmann:266577,women:sackmann:266459 | women:sackmann:266577,women:sackmann:266459=0 | women:sackmann:266577=0,BRA,
MEDIUM,women,lara bela frederico de almeida santos,Lara Bela Frederico De Almeida Santos,women:sackmann:266577,0,BRA,,U,,women:sackmann:266577,women:sackmann:266459 | women:sackmann:266577,women:sackmann:266459=0 | women:sackmann:266577=0,BRA,
MEDIUM,women,laura cuesta bret,Laura Cuesta Bret,women:sackmann:263991,0,ESP,,U,,women:sackmann:267605,women:sackmann:263991 | women:sackmann:267605,women:sackmann:263991=0 | women:sackmann:267605=0,ESP,
MEDIUM,women,laura cuesta bret,Laura Cuesta Bret,women:sackmann:267605,0,ESP,,U,,women:sackmann:267605,women:sackmann:263991 | women:sackmann:267605,women:sackmann:263991=0 | women:sackmann:267605=0,ESP,
MEDIUM,women,leyla nilufer elmas,Leyla Nilufer Elmas,women:sackmann:233748,0,TUR,2005,U,,women:sackmann:266601,women:sackmann:233748 | women:sackmann:266601,women:sackmann:233748=0 | women:sackmann:266601=0,TUR,2005
MEDIUM,women,leyla nilufer elmas,Leyla Nilufer Elmas,women:sackmann:266601,0,TUR,,U,,women:sackmann:266601,women:sackmann:233748 | women:sackmann:266601,women:sackmann:233748=0 | women:sackmann:266601=0,TUR,2005
MEDIUM,women,liisa varul,Liisa Varul,women:sackmann:222914,0,EST,,U,,women:sackmann:222915,women:sackmann:222914 | women:sackmann:222915,women:sackmann:222914=0 | women:sackmann:222915=0,EST,
MEDIUM,women,liisa varul,Liisa Varul,women:sackmann:222915,0,EST,,U,,women:sackmann:222915,women:sackmann:222914 | women:sackmann:222915,women:sackmann:222914=0 | women:sackmann:222915=0,EST,
MEDIUM,women,lily taylor,Lily Taylor,women:sackmann:259576,0,AUS,2006,U,,women:sackmann:266485,women:sackmann:259576 | women:sackmann:266485,women:sackmann:259576=0 | women:sackmann:266485=0,AUS,2006
MEDIUM,women,lily taylor,Lily Taylor,women:sackmann:266485,0,AUS,,U,,women:sackmann:266485,women:sackmann:259576 | women:sackmann:266485,women:sackmann:259576=0 | women:sackmann:266485=0,AUS,2006
MEDIUM,women,lucia gale,Lucia Gale,women:sackmann:264044,0,NZL,,U,,women:sackmann:266594,women:sackmann:264044 | women:sackmann:266594,women:sackmann:264044=0 | women:sackmann:266594=0,NZL,
MEDIUM,women,lucia gale,Lucia Gale,women:sackmann:266594,0,NZL,,U,,women:sackmann:266594,women:sackmann:264044 | women:sackmann:266594,women:sackmann:264044=0 | women:sackmann:266594=0,NZL,
MEDIUM,women,luciana perry,Luciana Perry,women:sackmann:252504,0,USA,2004,U,,women:sackmann:267920,women:sackmann:252504 | women:sackmann:267920,women:sackmann:252504=0 | women:sackmann:267920=0,USA,2004
MEDIUM,women,luciana perry,Luciana Perry,women:sackmann:267920,0,USA,,U,,women:sackmann:267920,women:sackmann:252504 | women:sackmann:267920,women:sackmann:252504=0 | women:sackmann:267920=0,USA,2004
MEDIUM,women,luisa silvestre da rosa silvestre,Luisa Silvestre Da Rosa Silvestre,women:sackmann:263976,0,BRA,,U,,women:sackmann:266595,women:sackmann:263976 | women:sackmann:266595,women:sackmann:263976=0 | women:sackmann:266595=0,BRA,
MEDIUM,women,luisa silvestre da rosa silvestre,Luisa Silvestre Da Rosa Silvestre,women:sackmann:266595,0,BRA,,U,,women:sackmann:266595,women:sackmann:263976 | women:sackmann:266595,women:sackmann:263976=0 | women:sackmann:266595=0,BRA,
CHECK,women,lya fernandez,Lya Fernandez,women:sackmann:248660,0,MEX,2008,U,,women:sackmann:259749,women:sackmann:248660 | women:sackmann:259749,women:sackmann:248660=0 | women:sackmann:259749=0,MEX,2007 | 2008
CHECK,women,lya fernandez,Lya Fernandez,women:sackmann:259749,0,MEX,2007,U,,women:sackmann:259749,women:sackmann:248660 | women:sackmann:259749,women:sackmann:248660=0 | women:sackmann:259749=0,MEX,2007 | 2008
CHECK,women,maria eleni poulka,Maria Eleni Poulka,women:sackmann:253669,0,GRE,2003,U,,women:sackmann:266767,women:sackmann:253669 | women:sackmann:266767,women:sackmann:253669=0 | women:sackmann:266767=0,GRC | GRE,2003
CHECK,women,maria eleni poulka,Maria Eleni Poulka,women:sackmann:266767,0,GRC,,U,,women:sackmann:266767,women:sackmann:253669 | women:sackmann:266767,women:sackmann:253669=0 | women:sackmann:266767=0,GRC | GRE,2003
CHECK,women,maria pinto,Maria Pinto,women:sackmann:223432,0,PUR,2006,U,,women:sackmann:269700,women:sackmann:223432 | women:sackmann:269700,women:sackmann:223432=0 | women:sackmann:269700=0,POR | PUR,2006
CHECK,women,maria pinto,Maria Pinto,women:sackmann:269700,0,POR,,U,,women:sackmann:269700,women:sackmann:223432 | women:sackmann:269700,women:sackmann:223432=0 | women:sackmann:269700=0,POR | PUR,2006
MEDIUM,women,mariapaz ospina,Mariapaz Ospina,women:sackmann:255641,0,COL,2007,U,,women:sackmann:267521,women:sackmann:255641 | women:sackmann:267521,women:sackmann:255641=0 | women:sackmann:267521=0,COL,2007
MEDIUM,women,mariapaz ospina,Mariapaz Ospina,women:sackmann:267521,0,COL,,U,,women:sackmann:267521,women:sackmann:255641 | women:sackmann:267521,women:sackmann:255641=0 | women:sackmann:267521=0,COL,2007
MEDIUM,women,melinda biro,Melinda Biro,women:sackmann:267256,0,HUN,,U,,women:sackmann:267406,women:sackmann:267256 | women:sackmann:267406,women:sackmann:267256=0 | women:sackmann:267406=0,HUN,
MEDIUM,women,melinda biro,Melinda Biro,women:sackmann:267406,0,HUN,,U,,women:sackmann:267406,women:sackmann:267256 | women:sackmann:267406,women:sackmann:267256=0 | women:sackmann:267406=0,HUN,
MEDIUM,women,meline lataste,Meline Lataste,women:sackmann:264163,0,FRA,,U,,women:sackmann:267625,women:sackmann:264163 | women:sackmann:267625,women:sackmann:264163=0 | women:sackmann:267625=0,FRA,
MEDIUM,women,meline lataste,Meline Lataste,women:sackmann:267625,0,FRA,,U,,women:sackmann:267625,women:sackmann:264163 | women:sackmann:267625,women:sackmann:264163=0 | women:sackmann:267625=0,FRA,
