priority_rank,priority,api_player_key,api_player_id,api_name,gender,mapping_status,api_source_match_count,example_index,date,tournament,level,surface,round,result_side,opponent_key,opponent_name,opponent_mapped,score,api_event_key,source_file,candidate_action,candidate_count,top_candidates,search_query_hint
1,high_level,men:api:61033,61033,T. Trufelli,men,ambiguous,3,1,2026-06-09,M15 Nyiregyhaza,itf,clay,M15 Nyiregyhaza - 1/16-finals,loser,men:api:20776,L. Rivera,no,2 - 1,12134783,2026-06-09.json,manual_review,2,men:sackmann:212770 | Timeo Trufelli | score=0.975 | manual_review ; men:sackmann:212547 | Timeo Trufelli | score=0.975 | candidate,T. Trufelli L. Rivera M15 Nyiregyhaza 2026-06-09 2 - 1
1,high_level,men:api:61033,61033,T. Trufelli,men,ambiguous,3,2,2026-05-31,French Open,grand_slam,clay,Boys French Open - 1/32-finals,loser,men:api:54888,M. Todoran,no,1 - 2,12132181,2026-05-31.json,manual_review,2,men:sackmann:212770 | Timeo Trufelli | score=0.975 | manual_review ; men:sackmann:212547 | Timeo Trufelli | score=0.975 | candidate,T. Trufelli M. Todoran French Open 2026-05-31 1 - 2
1,high_level,men:api:61033,61033,T. Trufelli,men,ambiguous,3,3,2026-05-26,M25 Carnac,itf,clay,M25 Carnac - 1/16-finals,loser,men:api:9687,D. A. Nunez,no,1 - 2,12130981,2026-05-26.json,manual_review,2,men:sackmann:212770 | Timeo Trufelli | score=0.975 | manual_review ; men:sackmann:212547 | Timeo Trufelli | score=0.975 | candidate,T. Trufelli D. A. Nunez M25 Carnac 2026-05-26 1 - 2
1,high_level,men:api:63406,63406,K. S. Chen,men,ambiguous,2,1,2026-06-01,French Open,grand_slam,clay,Boys French Open - 1/16-finals,loser,men:api:64476,A. Paparkar,no,2 - 0,12132505,2026-06-01.json,manual_review,2,men:sackmann:208696 | Kuan Yu Chen | score=0.975 | manual_review ; men:sackmann:213769 | Kuan Shou Chen | score=0.975 | candidate,K. S. Chen A. Paparkar French Open 2026-06-01 2 - 0
1,high_level,men:api:63406,63406,K. S. Chen,men,ambiguous,2,2,2026-05-31,French Open,grand_slam,clay,Boys French Open - 1/32-finals,winner,men:api:87145,M. V. Chelemen,no,0 - 2,12132201,2026-05-31.json,manual_review,2,men:sackmann:208696 | Kuan Yu Chen | score=0.975 | manual_review ; men:sackmann:213769 | Kuan Shou Chen | score=0.975 | candidate,K. S. Chen M. V. Chelemen French Open 2026-05-31 0 - 2
1,high_level,men:api:67442,67442,L. A. Miguel,men,ambiguous,6,1,2026-06-06,French Open,grand_slam,clay,Boys French Open - Final,winner,men:api:86725,M. Antonius,no,2 - 0,12134068,2026-06-06.json,manual_review,2,men:sackmann:213036 | Luis Guto Miguel | score=0.975 | manual_review ; men:sackmann:210323 | Luis Felipe Miguel | score=0.975 | candidate,L. A. Miguel M. Antonius French Open 2026-06-06 2 - 0
1,high_level,men:api:67442,67442,L. A. Miguel,men,ambiguous,6,2,2026-06-05,French Open,grand_slam,clay,Boys French Open - Semi-finals,winner,men:api:90024,F. L. Storck,no,2 - 1,12133856,2026-06-05.json,manual_review,2,men:sackmann:213036 | Luis Guto Miguel | score=0.975 | manual_review ; men:sackmann:210323 | Luis Felipe Miguel | score=0.975 | candidate,L. A. Miguel F. L. Storck French Open 2026-06-05 2 - 1
1,high_level,men:api:67442,67442,L. A. Miguel,men,ambiguous,6,3,2026-06-04,French Open,grand_slam,clay,Boys French Open - Quarter-finals,winner,men:api:78983,T. Behrmann,no,2 - 1,12133481,2026-06-04.json,manual_review,2,men:sackmann:213036 | Luis Guto Miguel | score=0.975 | manual_review ; men:sackmann:210323 | Luis Felipe Miguel | score=0.975 | candidate,L. A. Miguel T. Behrmann French Open 2026-06-04 2 - 1
1,high_level,men:api:68750,68750,J. Kennedy,men,ambiguous,4,1,2026-06-04,French Open,grand_slam,clay,Boys French Open - Quarter-finals,loser,men:api:90024,F. L. Storck,no,0 - 2,12133480,2026-06-04.json,manual_review,2,men:sackmann:213605 | Jack Kennedy | score=0.975 | manual_review ; men:sackmann:213194 | Jack Kennedy | score=0.975 | candidate,J. Kennedy F. L. Storck French Open 2026-06-04 0 - 2
1,high_level,men:api:68750,68750,J. Kennedy,men,ambiguous,4,2,2026-06-03,French Open,grand_slam,clay,Boys French Open - 1/8-finals,winner,men:api:64476,A. Paparkar,no,2 - 0,12133090,2026-06-03.json,manual_review,2,men:sackmann:213605 | Jack Kennedy | score=0.975 | manual_review ; men:sackmann:213194 | Jack Kennedy | score=0.975 | candidate,J. Kennedy A. Paparkar French Open 2026-06-03 2 - 0
1,high_level,men:api:68750,68750,J. Kennedy,men,ambiguous,4,3,2026-06-02,French Open,grand_slam,clay,Boys French Open - 1/16-finals,winner,men:api:63427,D. Jade,no,2 - 0,12132645,2026-06-02.json,manual_review,2,men:sackmann:213605 | Jack Kennedy | score=0.975 | manual_review ; men:sackmann:213194 | Jack Kennedy | score=0.975 | candidate,J. Kennedy D. Jade French Open 2026-06-02 2 - 0
1,high_level,men:api:78983,78983,T. Behrmann,men,unmapped,4,1,2026-06-04,French Open,grand_slam,clay,Boys French Open - Quarter-finals,loser,men:api:67442,L. A. Miguel,no,2 - 1,12133481,2026-06-04.json,no_candidate,1,,T. Behrmann L. A. Miguel French Open 2026-06-04 2 - 1
1,high_level,men:api:78983,78983,T. Behrmann,men,unmapped,4,2,2026-06-03,French Open,grand_slam,clay,Boys French Open - 1/8-finals,winner,men:api:68179,M. Domenc,no,0 - 2,12133083,2026-06-03.json,no_candidate,1,,T. Behrmann M. Domenc French Open 2026-06-03 0 - 2
1,high_level,men:api:78983,78983,T. Behrmann,men,unmapped,4,3,2026-06-01,French Open,grand_slam,clay,Boys French Open - 1/16-finals,winner,men:api:95164,O. Majdandzic,no,0 - 2,12132560,2026-06-01.json,no_candidate,1,,T. Behrmann O. Majdandzic French Open 2026-06-01 0 - 2
1,high_level,men:api:83915,83915,P. Pradat,men,unmapped,1,1,2026-06-01,French Open,grand_slam,clay,Boys French Open - 1/32-finals,loser,men:api:90024,F. L. Storck,no,0 - 2,12132187,2026-06-01.json,no_candidate,1,,P. Pradat F. L. Storck French Open 2026-06-01 0 - 2
1,high_level,men:api:83917,83917,B. Geldof,men,unmapped,1,1,2026-05-31,French Open,grand_slam,clay,Boys French Open - 1/32-finals,loser,men:api:78983,T. Behrmann,no,0 - 2,12132199,2026-05-31.json,no_candidate,1,,B. Geldof T. Behrmann French Open 2026-05-31 0 - 2
1,high_level,men:api:8579,8579,M. Cho,men,unmapped,1,1,2026-05-28,French Open,grand_slam,clay,Boys French Open - Semi-finals,loser,men:api:88816,J. Sadzik,no,2 - 0,12131712,2026-05-28.json,no_candidate,1,,M. Cho J. Sadzik French Open 2026-05-28 2 - 0
1,high_level,men:api:89204,89204,A. Rusher,men,ambiguous,4,1,2026-06-01,French Open,grand_slam,clay,Boys French Open - 1/16-finals,loser,men:api:78981,Z. Nurlanuly,no,0 - 2,12132504,2026-06-01.json,manual_review,2,men:sackmann:212049 | Azariah Rusher | score=0.975 | manual_review ; men:sackmann:213837 | Agassi Rusher | score=0.975 | candidate,A. Rusher Z. Nurlanuly French Open 2026-06-01 0 - 2
1,high_level,men:api:89204,89204,A. Rusher,men,ambiguous,4,2,2026-05-31,French Open,grand_slam,clay,Boys French Open - 1/32-finals,winner,men:api:94844,M. Abe,no,0 - 2,12132206,2026-05-31.json,manual_review,2,men:sackmann:212049 | Azariah Rusher | score=0.975 | manual_review ; men:sackmann:213837 | Agassi Rusher | score=0.975 | candidate,A. Rusher M. Abe French Open 2026-05-31 0 - 2
1,high_level,men:api:89204,89204,A. Rusher,men,ambiguous,4,3,2026-05-29,French Open,grand_slam,clay,Boys French Open - Final,winner,men:api:80016,M. Carrascosa Diaz,no,2 - 0,12131984,2026-05-29.json,manual_review,2,men:sackmann:212049 | Azariah Rusher | score=0.975 | manual_review ; men:sackmann:213837 | Agassi Rusher | score=0.975 | candidate,A. Rusher M. Carrascosa Diaz French Open 2026-05-29 2 - 0
1,high_level,men:api:90024,90024,F. L. Storck,men,unmapped,5,1,2026-06-05,French Open,grand_slam,clay,Boys French Open - Semi-finals,loser,men:api:67442,L. A. Miguel,no,2 - 1,12133856,2026-06-05.json,no_candidate,1,,F. L. Storck L. A. Miguel French Open 2026-06-05 2 - 1
1,high_level,men:api:90024,90024,F. L. Storck,men,unmapped,5,2,2026-06-04,French Open,grand_slam,clay,Boys French Open - Quarter-finals,winner,men:api:68750,J. Kennedy,no,0 - 2,12133480,2026-06-04.json,no_candidate,1,,F. L. Storck J. Kennedy French Open 2026-06-04 0 - 2
1,high_level,men:api:90024,90024,F. L. Storck,men,unmapped,5,3,2026-06-03,French Open,grand_slam,clay,Boys French Open - 1/8-finals,winner,men:api:78981,Z. Nurlanuly,no,2 - 1,12133337,2026-06-03.json,no_candidate,1,,F. L. Storck Z. Nurlanuly French Open 2026-06-03 2 - 1
1,high_level,men:api:902,902,J. Mensik,men,ambiguous,5,1,2026-06-05,French Open,grand_slam,clay,ATP French Open - Semi-finals,loser,men:api:1980,A. Zverev,no,1 - 3,12133368,2026-06-05.json,manual_review,2,men:sackmann:210150 | Jakub Mensik | score=0.975 | manual_review ; men:sackmann:210084 | Jakub Mensik | score=0.975 | candidate,J. Mensik A. Zverev French Open 2026-06-05 1 - 3
1,high_level,men:api:902,902,J. Mensik,men,ambiguous,5,2,2026-06-02,French Open,grand_slam,clay,ATP French Open - Quarter-finals,winner,men:api:40058,J. Fonseca,no,3 - 0,12132608,2026-06-02.json,manual_review,2,men:sackmann:210150 | Jakub Mensik | score=0.975 | manual_review ; men:sackmann:210084 | Jakub Mensik | score=0.975 | candidate,J. Mensik J. Fonseca French Open 2026-06-02 3 - 0
