api_player_key,raw_api_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
men:api:54265,54265,L. Parenti,men,missing_mapping_entry,1,L. Berto,M25 Milano (Italy),Itf Men Singles,,,,,,
women:api:22,22,L. Petretic,women,missing_mapping_entry,1,C. Fontenel,W35+H Tauste,Itf Women Singles,,,,,,
women:api:33202,33202,L. Urbanova,women,missing_mapping_entry,1,A. Safta,W15 Bucharest 2,Itf Women Singles,,,,,,
men:api:54685,54685,L. Van Herck,men,missing_mapping_entry,1,T. Papamalamis,M15 Bourg-En-Bresse (France),Itf Men Singles,,,,,,
men:api:70648,70648,M. Balciunas,men,missing_mapping_entry,1,H. Haupt,M15 Saarlouis,Itf Men Singles,,,,,,
men:api:102651,102651,M. Bekeni,men,unmapped,1,A. Daskalovic,M15 Kursumlijska Banja 5,Itf Men Singles,,,,,,
men:api:58609,58609,M. Bertimon,men,missing_mapping_entry,1,C. Lemire,M15 Bourg-En-Bresse (France),Itf Men Singles,,,,,,
women:api:173,173,M. Bulgaru,women,unmapped,1,D. Kovinic,Brescia (Italy) - Qualification,Challenger Women Singles,,,,,,
men:api:70353,70353,M. Chambonniere,men,missing_mapping_entry,1,C. Hernandez,M15 Mungia-Laukariz,Itf Men Singles,,,,,,
women:api:40110,40110,M. Chen,women,unmapped,1,C. Zhu,W35 Zhengzhou (China),Itf Women Singles,,,,,,
women:api:58750,58750,M. Ciocan,women,missing_mapping_entry,1,L. De Ezcurra,W15 Dinard,Itf Women Singles,,,,,,
women:api:104052,104052,M. Estrella,women,missing_mapping_entry,1,S. Meabe,W15 Luque,Itf Women Singles,,,,,,
women:api:103897,103897,M. Gospodinova,women,unmapped,1,M. Matoula,W50 Haskovo (Bulgaria),Itf Women Singles,,,,,,
men:api:3604,3604,M. H. Rehberg,men,unmapped,1,G. A. Olivieri,Poznan,Challenger Men Singles,,,,,,
women:api:1415,1415,M. Herazo Gonzalez,women,unmapped,1,A. Soto Neira,W15 Luque,Itf Women Singles,,,,,,
women:api:2296,2296,M. Hoedt,women,missing_mapping_entry,1,A. Nagy,W35 Klosters,Itf Women Singles,,,,,,
women:api:187,187,M. L. Carle,women,missing_mapping_entry,1,A. Firman,W75 Blois,Itf Women Singles,,,,,,
men:api:38047,38047,M. Martinez,men,missing_mapping_entry,1,R. Nijboer,M15 Mungia-Laukariz,Itf Men Singles,,,,,,
women:api:7359,7359,M. Osterreicher,women,missing_mapping_entry,1,A. Reva,W15 Dinard,Itf Women Singles,,,,,,
men:api:40066,40066,M. R. Marinescu,men,unmapped,1,J. Gschwendtner,M15 Constanta,Itf Men Singles,,,,,,
women:api:75050,75050,M. Rasim,women,missing_mapping_entry,1,G. Feistel,W50 Haskovo (Bulgaria),Itf Women Singles,,,,,,
men:api:11749,11749,M. Todorov,men,missing_mapping_entry,1,L. Lagerbohm,M15 Saarlouis,Itf Men Singles,,,,,,
men:api:69811,69811,M. Vavassori,men,missing_mapping_entry,1,G. Crisostomo,M15 Bourg-En-Bresse (France),Itf Men Singles,,,,,,
women:api:103892,103892,M. Yildirim,women,missing_mapping_entry,1,J. Hossam Salah,W15 Kayseri 5,Itf Women Singles,,,,,,
men:api:101852,101852,N. Beamish,men,missing_mapping_entry,1,M. Scaglia,M15 Monastir 23,Itf Men Singles,,,,,,
men:api:100794,100794,N. Belozertsev,men,unmapped,1,A. Bernard,M15 Kursumlijska Banja 5,Itf Men Singles,men:sackmann:212756,Nikita Bilozertsev,0.773829,,fuzzy,"{""men:api:100794"": ""men:sackmann:212756""}"
men:api:14638,14638,N. Mashtakov,men,unmapped,1,B. Artnak,M25 Samobor (Croatia),Itf Men Singles,,,,,,
men:api:69814,69814,N. Ratiu,men,missing_mapping_entry,1,A. Oetzbach,M15 Saarlouis,Itf Men Singles,,,,,,
men:api:104064,104064,O. A. Martinez De Freitas,men,missing_mapping_entry,1,R. Cruz,M25 Lourinha (Portugal),Itf Men Singles,,,,,,
men:api:974,974,O. J. Gutierrez,men,unmapped,1,L. Garcia Paez,M15 Mungia-Laukariz,Itf Men Singles,,,,,,
