api_player_key,api_name,gender,api_matches,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,method
women:api:15649,Sophie Steur Joelle Lilly,women,1,1,women:sackmann:221259,Joelle Lilly Sophie Steur,157,0.996063,token_set_exact+country
women:api:2578,Tara Wuerth,women,3,1,women:sackmann:223087,Tara Wurth,144,0.786691,fuzzy+country
women:api:26894,Jiangxue Han,women,1,1,women:sackmann:220497,Jiangxue Han,92,1.0,exact_normalized+country
women:api:26894,Jiangxue Han,women,1,2,women:sackmann:264084,Jiatong Han,22,0.979135,exact_initial_form+country
women:api:3130,Jiho Shin,women,2,1,women:sackmann:222215,Jiho Shin,62,1.0,exact_normalized+country
women:api:3130,Jiho Shin,women,2,2,women:sackmann:260126,Juae Shin,14,0.978708,exact_initial_form+country
women:api:3130,Jiho Shin,women,2,3,women:sackmann:269729,Ju Hyang Shin,3,0.926023,initial_surname+country
women:api:38938,Maria Mikhaylova,women,8,1,women:sackmann:223153,Maria Mikhailova,112,0.769727,fuzzy
women:api:39108,Seo Lee Gyeong,women,2,1,women:sackmann:260137,Gyeong Seo Lee,99,0.995605,token_set_exact+country
women:api:4112,Y. Kim,women,2,1,women:sackmann:263841,Yana Kim,10,0.978398,exact_initial_form+country
women:api:4112,Y. Kim,women,2,2,women:sackmann:264973,Yujin Kim,112,0.970727,exact_initial_form+country_mismatch
women:api:4112,Y. Kim,women,2,3,women:sackmann:222497,Youna Kim,8,0.968197,exact_initial_form+country_mismatch
women:api:4112,Y. Kim,women,2,4,women:sackmann:260191,Yelin Kim,1,0.966693,exact_initial_form+country_mismatch
women:api:4112,Y. Kim,women,2,5,women:sackmann:264005,Ye Eun Kim,17,0.920557,initial_surname+country_mismatch
women:api:4112,Y. Kim,women,2,6,women:sackmann:220669,Ye Jin Kim,8,0.919864,initial_surname+country_mismatch
women:api:4112,Y. Kim,women,2,7,women:sackmann:265008,Yeo Kyung Kim,2,0.907654,initial_surname+country_mismatch
women:api:4144,Yuyao Li,women,2,1,women:sackmann:264986,Yuyao Li,24,1.0,exact_normalized+country
women:api:4144,Yuyao Li,women,2,2,women:sackmann:264052,Yican Li,8,0.978197,exact_initial_form+country
women:api:4144,Yuyao Li,women,2,3,women:sackmann:264094,Yujie Li,3,0.977386,exact_initial_form+country
women:api:4144,Yuyao Li,women,2,4,women:sackmann:260098,Yu Yun Li,65,0.925778,initial_surname+country_mismatch
women:api:54081,Maria Ionescu Eva,women,1,1,women:sackmann:260490,Eva Maria Ionescu,89,0.9955,token_set_exact+country
women:api:54092,Teodora Sava Ioana,women,4,1,women:sackmann:266532,Ioana Teodora Sava,64,0.995174,token_set_exact+country
women:api:54092,Teodora Sava Ioana,women,4,2,women:sackmann:260526,Ioana Teodora Sava,14,0.993708,token_set_exact+country
women:api:54661,Shiyu Ye,women,9,1,women:sackmann:264085,Shiyu Ye,72,0.995,exact_normalized+country_mismatch
women:api:54661,Shiyu Ye,women,9,2,women:sackmann:270205,Sarah Ye,7,0.978079,exact_initial_form+country
women:api:55157,Brooke Black,women,2,1,women:sackmann:259607,Brooke Black,2,1.0,exact_normalized+country
women:api:55157,Brooke Black,women,2,2,women:sackmann:265657,Brooke Black,5,1.0,exact_normalized+country
women:api:55157,Brooke Black,women,2,3,women:sackmann:266682,Brooke Black,40,1.0,exact_normalized+country
women:api:55518,M. Biro,women,3,1,women:sackmann:267406,Melinda Biro,7,0.978079,exact_initial_form+country
women:api:55518,M. Biro,women,3,2,women:sackmann:267256,Melinda Biro,1,0.976693,exact_initial_form+country
women:api:57751,A. Roots,women,2,1,women:sackmann:222918,Andrea Roots,51,0.979951,exact_initial_form+country
women:api:57751,A. Roots,women,2,2,women:sackmann:260931,Adriana Roots,1,0.976693,exact_initial_form+country
women:api:58205,N. Lee,women,3,1,women:sackmann:270052,Nancy Lee,1,0.976693,exact_initial_form+country
women:api:58205,N. Lee,women,3,2,women:sackmann:264117,Nayoung Lee,5,0.967792,exact_initial_form+country_mismatch
women:api:67444,Sophie Llewellyn,women,4,1,women:sackmann:265712,Sophie Llewellyn,2,1.0,exact_normalized+country
women:api:67444,Sophie Llewellyn,women,4,2,women:sackmann:266686,Sophie Llewellyn,16,1.0,exact_normalized+country
women:api:70676,G. Nemcsek,women,4,1,women:sackmann:267407,Greta Nemcsek,4,0.977609,exact_initial_form+country
women:api:70676,G. Nemcsek,women,4,2,women:sackmann:267257,Greta Nemcsek,1,0.976693,exact_initial_form+country
women:api:73111,Camila Rodero,women,6,1,women:sackmann:264198,Camila Rodero,5,1.0,exact_normalized+country
women:api:73111,Camila Rodero,women,6,2,women:sackmann:266658,Camila Rodero,29,1.0,exact_normalized+country
women:api:73111,Camila Rodero,women,6,3,women:sackmann:265632,Camila Rodero,2,0.995,exact_normalized+country_mismatch
women:api:7926,Yuyun Chen,women,3,1,women:sackmann:260555,Yuyun Chen,15,0.995,exact_normalized+country_mismatch
women:api:7926,Yuyun Chen,women,3,2,women:sackmann:266372,Yiru Chen,30,0.979434,exact_initial_form+country
women:api:7926,Yuyun Chen,women,3,3,women:sackmann:264210,Yiran Chen,3,0.977386,exact_initial_form+country
women:api:7926,Yuyun Chen,women,3,4,women:sackmann:267504,Yuhan Chen,3,0.977386,exact_initial_form+country
women:api:7926,Yuyun Chen,women,3,5,women:sackmann:221697,Yu Chen,20,0.969045,exact_initial_form+country_mismatch
women:api:7926,Yuyun Chen,women,3,6,women:sackmann:267467,Yilin Chen,9,0.968303,exact_initial_form+country_mismatch
women:api:81646,K. N. Kucikova,women,3,1,women:sackmann:266562,Kiara Nina Kucikova,8,0.937617,initial_surname+country
women:api:81646,K. N. Kucikova,women,3,2,women:sackmann:264009,Kiara Nina Kucikova,1,0.936113,initial_surname+country
women:api:84070,A. Adeikyte,women,3,1,women:sackmann:267773,Anastasija Adeikyte,4,0.977609,exact_initial_form+country
women:api:84070,A. Adeikyte,women,3,2,women:sackmann:263655,Anastasija Adeikyte,2,0.977099,exact_initial_form+country
women:api:8910,Ying Zhang,women,2,1,women:sackmann:213947,Ying Zhang,154,1.0,exact_normalized+country
women:api:8910,Ying Zhang,women,2,2,women:sackmann:220498,Yuxin Zhang,7,0.978079,exact_initial_form+country
women:api:8910,Ying Zhang,women,2,3,women:sackmann:264209,Yixin Zhang,2,0.977099,exact_initial_form+country
women:api:89210,R. Yoshida,women,6,1,women:sackmann:267680,Riyo Yoshida,1,0.976693,exact_initial_form+country
women:api:89210,R. Yoshida,women,6,2,women:sackmann:269880,Rena Yoshida,1,0.976693,exact_initial_form+country
women:api:90141,Liu Yuhan,women,2,1,women:sackmann:221463,Yuhan Liu,60,0.995111,token_set_exact+country
women:api:9092,Himari Sato,women,2,1,women:sackmann:216156,Himari Sato,80,1.0,exact_normalized+country
women:api:9092,Himari Sato,women,2,2,women:sackmann:221141,Hikaru Sato,180,0.981198,exact_initial_form+country
