api_player_key,api_name,gender,mapping_status,priority,impact_total_matches,impact_atp_wta,impact_grand_slam,impact_challenger,impact_itf,impact_qualifying,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,margin,method,suggested_action,suggested_override_json
men:api:1270,H. Liu,men,ambiguous,low,,,,,,,2,men:sackmann:214559,Hanlin Liu,2,0.975,,exact_initial_form,candidate,
men:api:13016,A. Abibsi,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:1314,D. Blanch,men,ambiguous,low,,,,,,,1,men:sackmann:209898,Dali Blanch,215,0.975,0.0,exact_initial_form,manual_review,
men:api:1314,D. Blanch,men,ambiguous,low,,,,,,,2,men:sackmann:210464,Darwin Blanch,137,0.975,,exact_initial_form,candidate,
men:api:13283,C. Bittoun,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:14087,M. Jones,men,ambiguous,low,,,,,,,1,men:sackmann:210382,Maximus Jones,177,0.975,0.0,exact_initial_form,manual_review,
men:api:14087,M. Jones,men,ambiguous,low,,,,,,,2,men:sackmann:207404,Miles Jones,112,0.975,,exact_initial_form,candidate,
men:api:14087,M. Jones,men,ambiguous,low,,,,,,,3,men:sackmann:207756,Adam Jones,24,0.752941,,same_last,candidate,
men:api:14087,M. Jones,men,ambiguous,low,,,,,,,4,men:sackmann:202346,Ben Jones,148,0.7,,same_last,candidate,
men:api:14306,Je. Delaney,men,ambiguous,low,,,,,,,1,men:sackmann:117359,Jake Delaney,247,0.975,0.0,exact_initial_form,manual_review,
men:api:14306,Je. Delaney,men,ambiguous,low,,,,,,,2,men:sackmann:202334,Jesse Delaney,135,0.975,,exact_initial_form,candidate,
men:api:14315,T. Duran,men,ambiguous,low,,,,,,,1,men:sackmann:210513,Tuncay Duran,100,0.975,0.0,exact_initial_form,manual_review,
men:api:14315,T. Duran,men,ambiguous,low,,,,,,,2,men:sackmann:214544,Tugra Duran,3,0.975,,exact_initial_form,candidate,
men:api:14638,N. Mashtakov,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:17461,I. Orgiles Garcia Retamero,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:1872,Pe. Tsitsipas,men,ambiguous,low,,,,,,,1,men:sackmann:210409,Pavlos Tsitsipas,90,0.975,0.0,exact_initial_form,manual_review,
