api_player_key,api_raw_player_key,api_name,gender,mapping_status,issue,reason,today_match_count,opponents_today,event_names,event_type_types,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,margin,method,candidate_sources,first_seen_date,last_seen_date,example_tournament,suggested_action,suggested_override_json
women:api:32551,,Christasha McNeil,women,missing_mapping_entry,,no_sackmann_candidate,1,Bella Payne,W35 Rome,Itf Women Singles,1,women:sackmann:266937,Christasha Mcneil,196,1.0,1.0,exact_normalized_raw,source_manifest:49;source_sackmann_jsonl:49;canonical_jsonl:49;raw_sackmann_csv:49,2024-04-08,20251103,W35 Boca Raton FL,safe_override,"{""women:api:32551"": ""women:sackmann:266937""}"
men:api:27347,,Darrshan Suresh,men,missing_mapping_entry,,no_sackmann_candidate,1,Oscar Weightman,M25 Bakio,Itf Men Singles,1,men:sackmann:207559,Darrshan Suresh,112,1.0,0.025,exact_normalized_raw,source_manifest:28;source_sackmann_jsonl:28;canonical_jsonl:28;raw_sackmann_csv:28,2023-01-30,20260504,M25 Kigali,manual_review,
men:api:27347,,Darrshan Suresh,men,missing_mapping_entry,,no_sackmann_candidate,1,Oscar Weightman,M25 Bakio,Itf Men Singles,2,men:sackmann:202290,Dhakshineswar Suresh,244,0.975,,exact_initial_form_raw,source_manifest:61;source_sackmann_jsonl:61;canonical_jsonl:61;raw_sackmann_csv:61,2023-11-06,20260207,M15 Winston-Salem NC,candidate,
men:api:27347,,Darrshan Suresh,men,missing_mapping_entry,,no_sackmann_candidate,1,Oscar Weightman,M25 Bakio,Itf Men Singles,3,men:sackmann:212578,Darrshan Suresh Kumar,8,0.84,,initial_surname_raw,source_manifest:2;source_sackmann_jsonl:2;canonical_jsonl:2;raw_sackmann_csv:2,2023-11-20,20231127,M15 Ipoh Perak,candidate,
men:api:13796,,Dorian Tremblay,men,missing_mapping_entry,,no_sackmann_candidate,1,N. Oliynykov,M25 Zagreb (Croatia),Itf Men Singles,1,men:sackmann:209847,Dorian Tremblay,68,1.0,1.0,exact_normalized_raw,source_manifest:17;source_sackmann_jsonl:17;canonical_jsonl:17;raw_sackmann_csv:17,2024-06-10,20260309,M15 Tehran,safe_override,"{""men:api:13796"": ""men:sackmann:209847""}"
men:api:39929,,Elgin Khoeblal,men,missing_mapping_entry,,no_sackmann_candidate,1,Abel Forger,M15 Alkmaar,Itf Men Singles,1,men:sackmann:210163,Elgin Khoeblal,308,1.0,1.0,exact_normalized_raw,source_manifest:77;source_sackmann_jsonl:77;canonical_jsonl:77;raw_sackmann_csv:77,2023-01-09,20260413,M15 Zahra,safe_override,"{""men:api:39929"": ""men:sackmann:210163""}"
men:api:39675,,Elmer Moller,men,missing_mapping_entry,,no_sackmann_candidate,1,Luca Potenza,Targu Mures,Challenger Men Singles,1,men:sackmann:209284,Elmer Moller,972,1.0,1.0,exact_normalized_raw,source_manifest:243;source_sackmann_jsonl:243;canonical_jsonl:243;raw_sackmann_csv:243,2023-02-03,20260511,M25 Santa Margherita di Pula,safe_override,"{""men:api:39675"": ""men:sackmann:209284""}"
women:api:13500,,Elza Tomase,women,missing_mapping_entry,,no_sackmann_candidate,1,Mina Hodzic,W50 Gdansk (Poland),Itf Women Singles,1,women:sackmann:223080,Elza Tomase,60,1.0,1.0,exact_normalized_raw,source_manifest:15;source_sackmann_jsonl:15;canonical_jsonl:15;raw_sackmann_csv:15,2025-08-04,20260518,W15 Monastir,safe_override,"{""women:api:13500"": ""women:sackmann:223080""}"
men:api:63483,,Enzo Kohlmann,men,unmapped,,no_sackmann_candidate,1,Manuel La Serna Juan,Piracicaba,Challenger Men Singles,1,men:sackmann:212780,Enzo Kohlmann De Freitas,192,0.733784,0.733784,initial_surname_raw,source_manifest:48;source_sackmann_jsonl:48;canonical_jsonl:48;raw_sackmann_csv:48,2024-03-11,20260601,M15 Recife,very_weak_candidate,
men:api:104378,,F. Bullamah,men,missing_mapping_entry,,no_sackmann_candidate,1,Wilson Leite,Piracicaba,Challenger Men Singles,,,,,,,,,,,,no_candidate,
men:api:104271,,F. Czyrek,men,missing_mapping_entry,,no_sackmann_candidate,1,Kacper Szymkowiak,M15 Rzeszow (Poland),Itf Men Singles,,,,,,,,,,,,no_candidate,
women:api:15370,,Federica Trevisan,women,missing_mapping_entry,,no_sackmann_candidate,1,V. Proietti,W35 Tarvisio,Itf Women Singles,1,women:sackmann:220081,Federica Trevisan,20,1.0,1.0,exact_normalized_raw,source_manifest:5;source_sackmann_jsonl:5;canonical_jsonl:5;raw_sackmann_csv:5,2026-05-18,20260518,W15 Grado,safe_override,"{""women:api:15370"": ""women:sackmann:220081""}"
women:api:102543,,G. Djurickovic,women,missing_mapping_entry,,no_sackmann_candidate,1,A. Colic,W15 Kursumlijska Banja 6,Itf Women Singles,1,women:sackmann:270541,Gaja Djurickovic,4,0.975,0.975,exact_initial_form_raw,source_manifest:1;source_sackmann_jsonl:1;canonical_jsonl:1;raw_sackmann_csv:1,2026-05-18,20260518,W15 Kursumlijska Banja,safe_override,"{""women:api:102543"": ""women:sackmann:270541""}"
women:api:84311,,Gabriela Kawano Cho,women,missing_mapping_entry,,no_sackmann_candidate,1,Mia Wainwright,W15 Monastir 19,Itf Women Singles,1,women:sackmann:259599,Gabriela Kawano Cho,60,1.0,1.0,exact_normalized_raw,source_manifest:15;source_sackmann_jsonl:15;canonical_jsonl:15;raw_sackmann_csv:15,2023-06-19,20251006,W15 Ribeirao Preto,safe_override,"{""women:api:84311"": ""women:sackmann:259599""}"
women:api:78523,,Gabriella Mikaul,women,missing_mapping_entry,,no_sackmann_candidate,1,A. J. Lopez Ocampos,W15 Asuncion,Itf Women Singles,1,women:sackmann:270046,Gabriella Mikaul,28,1.0,1.0,exact_normalized_raw,source_manifest:7;source_sackmann_jsonl:7;canonical_jsonl:7;raw_sackmann_csv:7,2024-12-30,20250811,W35 Nairobi,safe_override,"{""women:api:78523"": ""women:sackmann:270046""}"
women:api:13991,,Garbiela Vasilescu Arina,women,unmapped,,no_sackmann_candidate,1,S. Triquart,W15 Kamen,Itf Women Singles,,,,,,,,,,,,no_candidate,
