confidence,api_match_id,api_event_key,date,gender,api_level,api_surface,api_tourney_name,api_winner,api_loser,sackmann_match_id,sackmann_level,sackmann_surface,sackmann_tourney_name,sackmann_winner,sackmann_loser,match_key
medium,api_tennis:12132591,12132591,2026-06-01,men,itf,clay,M25 Caltanissetta (Italy),S. Cocola,C. Gannon,sackmann:men:2026-M-ITF-ITA-2026-023:111:213717:149843,itf,clay,M25 Caltanissetta,Sebastiano Cocola,Conor Gannon,men|2026-06-01|cocola|gannon
medium,api_tennis:12132606,12132606,2026-06-01,men,challenger,hard,Tyler,A. Fenty,B. Kuzuhara,sackmann:men:2026-2873:350:208649:210044,challenger,hard,Tyler CH,Andrew Fenty,Bruno Kuzuhara,men|2026-06-01|fenty|kuzuhara
medium,api_tennis:12132610,12132610,2026-06-01,men,challenger,clay,Heilbronn,M. Moeller,D. Stricker,sackmann:men:2026-0460:350:202359:208502,challenger,clay,Heilbronn CH,Marvin Moeller,Dominic Stricker,men|2026-06-01|moeller|stricker
medium,api_tennis:12132611,12132611,2026-06-01,men,challenger,clay,Heilbronn,S. Jong,L. Poertner,sackmann:men:2026-0460:351:210093:211322,challenger,clay,Heilbronn CH,Sander Jong,Lasse Poertner,men|2026-06-01|jong|poertner
medium,api_tennis:12132612,12132612,2026-06-01,men,challenger,clay,Heilbronn,D. E. Galan,M. Polmans,sackmann:men:2026-0460:354:123755:117360,challenger,clay,Heilbronn CH,Daniel Elahi Galan,Marc Polmans,men|2026-06-01|galan|polmans
medium,api_tennis:12132663,12132663,2026-06-01,men,challenger,clay,Heilbronn,A. Marti Pujolras,M. Kestelboim,sackmann:men:2026-0460:353:207704:126183,challenger,clay,Heilbronn CH,Alex Marti Pujolras,Mariano Kestelboim,men|2026-06-01|pujolras|kestelboim
medium,api_tennis:12132761,12132761,2026-06-02,women,challenger,clay,Makarska,K. Rinaldo Persson,L. Jeanjean,sackmann:women:2026-1090:277:211643:206417,challenger,clay,Makarska 125,Kajsa Rinaldo Persson,Leolia Jeanjean,women|2026-06-02|persson|jeanjean
medium,api_tennis:12132762,12132762,2026-06-02,women,challenger,clay,Makarska,D. Salkova,A. Konjuh,sackmann:women:2026-1090:282:222966:211951,challenger,clay,Makarska 125,Dominika Salkova,Ana Konjuh,women|2026-06-02|salkova|konjuh
medium,api_tennis:12132763,12132763,2026-06-02,women,challenger,clay,Makarska,N. Noha Akugue,M. Bulgaru,sackmann:women:2026-1090:276:223333:214480,challenger,clay,Makarska 125,Noma Noha Akugue,Miriam Bianca Bulgaru,women|2026-06-02|akugue|bulgaru
medium,api_tennis:12132764,12132764,2026-06-02,women,challenger,clay,Makarska,S. Waltert,T. Kostovic,sackmann:women:2026-1090:281:215899:267439,challenger,clay,Makarska 125,Simona Waltert,Teodora Kostovic,women|2026-06-02|waltert|kostovic
medium,api_tennis:12132766,12132766,2026-06-02,women,challenger,clay,Makarska,S. Sorribes Tormo,V. Jimenez Kasintseva,sackmann:women:2026-1090:274:204427:223286,challenger,clay,Makarska 125,Sara Sorribes Tormo,Victoria Jimenez Kasintseva,women|2026-06-02|tormo|kasintseva
medium,api_tennis:12133087,12133087,2026-06-02,women,challenger,clay,Makarska,E. Avanesyan,T. Zidansek,sackmann:women:2026-1090:283:220589:214461,challenger,clay,Makarska 125,Elina Avanesyan,Tamara Zidansek,women|2026-06-02|avanesyan|zidansek
