api_player_key,api_raw_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
women:api:30748,30748,Malaysia W,women,missing_mapping_entry,1,Laos W,Billie Jean King Cup - Group II,Teams Women,,,,,,
women:api:73425,73425,Maleckova/ Skoch,women,missing_mapping_entry,1,Kato/ Ninomiya,Nottingham,Wta Doubles,,,,,,
men:api:2637,2637,Malgaroli/ Serafini,men,missing_mapping_entry,1,Ciurnelli/ Massellani,"M25 Milano (Italy), Clay",Itf Men - Doubles,,,,,,
men:api:103850,103850,Martinez/ Rojas,men,missing_mapping_entry,1,Garcia Mestre/ Naharro,M15 Mungia-Laukariz,Itf Men Doubles,,,,,,
men:api:3580,3580,Melo/ Zverev,men,missing_mapping_entry,1,Bergs/ Bublik,Halle,Atp Doubles,,,,,,
women:api:103675,103675,Muelle Valdez/ Muro Castellvi,women,missing_mapping_entry,1,Ferlito Faticanti/ Garcia-Perez,W35+H Tauste,Itf Women Doubles,,,,,,
men:api:778,778,P. Delage,men,missing_mapping_entry,1,S. Gulin,Royan,Challenger Men Singles,,,,,,
men:api:11781,11781,P. Dev S D,men,unmapped,1,C. Rolland de Ravel,Royan,Challenger Men Singles,,,,,,
men:api:80068,80068,P. Lagutin,men,missing_mapping_entry,1,P. Marino,M15 Mungia-Laukariz,Itf Men Singles,,,,,,
women:api:30749,30749,Pacific Oceania W,women,missing_mapping_entry,1,Kyrgyzstan W,Billie Jean King Cup - Group II,Teams Women,,,,,,
women:api:29833,29833,Panama W,women,missing_mapping_entry,1,Costa Rica W,Billie Jean King Cup - Group III Teams,Teams Women,,,,,,
men:api:103793,103793,Passaro/ Vasami,men,missing_mapping_entry,1,Bondioli/ Caniato,Parma,Challenger Men Doubles,,,,,,
men:api:76685,76685,Perin/ Potenza,men,missing_mapping_entry,1,Cazzani/ Silva,"M25 Milano (Italy), Clay",Itf Men - Doubles,,,,,,
women:api:77722,77722,Philippines W,women,missing_mapping_entry,1,Hong Kong W,Billie Jean King Cup - Group II,Teams Women,,,,,,
