api_player_key,api_name,gender,mapping_status,api_matches_in_source,levels,surfaces,sample_tournaments
women:api:17,F. Dell'Edera,women,unmapped,2,"{""challenger"": 1, ""itf"": 1}","{""clay"": 1, ""hard"": 1}","{""W15 Monastir 15"": 1, ""Foggia (Italy)"": 1}"
men:api:93298,F. J. Rivadeneira Gallegos,men,unmapped,2,"{""itf"": 2}","{""hard"": 2}","{""M15 Kayseri 4"": 2}"
men:api:79642,F. Zakaria,men,unmapped,2,"{""challenger"": 2}","{""clay"": 2}","{""Bratislava"": 1, ""Poznan"": 1}"
women:api:32808,G. Jang,women,ambiguous,2,"{""itf"": 2}","{""hard"": 2}","{""W15 Tokyo"": 2}"
women:api:102570,G. Mais,women,unmapped,2,"{""itf"": 2}","{""hard"": 2}","{""W15 Monastir 15"": 2}"
women:api:70676,G. Nemcsek,women,ambiguous,2,"{""itf"": 2}","{""clay"": 2}","{""W15 Osijek"": 2}"
women:api:2115,G. Parentini,women,unmapped,2,"{""itf"": 2}","{""clay"": 2}","{""W15 Tsaghkadzor 2"": 1, ""W15 Focsani"": 1}"
women:api:54092,I. T. Sava,women,ambiguous,2,"{""itf"": 2}","{""clay"": 2}","{""W15 Osijek"": 2}"
women:api:24284,J. Dourado Zimermman,women,unmapped,2,"{""itf"": 2}","{""clay"": 1, ""hard"": 1}","{""W15 Brasilia (Brazil)"": 1, ""W35 Cuiaba"": 1}"
men:api:83545,J. Vrba,men,ambiguous,2,"{""itf"": 2}","{""clay"": 2}","{""M25 Ceska Lipa"": 2}"
men:api:90131,K. Kang,men,ambiguous,2,"{""itf"": 2}","{""hard"": 2}","{""M15 Luan 3"": 2}"
women:api:51003,K. Mrazikova,women,ambiguous,2,"{""itf"": 2}","{""clay"": 2}","{""W15 Osijek"": 2}"
men:api:63406,K. S. Chen,men,ambiguous,2,"{""grand_slam"": 2}","{""clay"": 2}","{""French Open"": 2}"
men:api:23191,K. Suzuki,men,ambiguous,2,"{""itf"": 2}","{""clay"": 1, ""hard"": 1}","{""M15 Karuizawa"": 1, ""M15 Harmon"": 1}"
men:api:95212,K. Watanabe,men,unmapped,2,"{""grand_slam"": 2}","{""clay"": 2}","{""French Open"": 2}"
women:api:13865,L. Alhussein,women,unmapped,2,"{""itf"": 2}","{""grass"": 2}","{""W50 Hurghada (Egypt)"": 2}"
women:api:462,L. Miyazaki,women,unmapped,2,"{""atp_wta"": 1, ""challenger"": 1}","{""grass"": 2}","{""Birmingham"": 1, ""London"": 1}"
women:api:135,M. Bassols,women,unmapped,2,"{""grand_slam"": 1, ""qualifying"": 1}","{""clay"": 2}","{""French Open"": 1, ""Modena (Italy) - Qualification"": 1}"
men:api:102651,M. Bekeni,men,unmapped,2,"{""challenger"": 2}","{""clay"": 2}","{""Prostejov"": 1, ""Bratislava"": 1}"
